tconst,title,year,runtime_min,genres,rating,votes,rank,primary_genre,decade,runtime_category,is_classic,votes_millions
tt0086250,Scarface,1983,170,"Crime,Drama",8.3,1016236,89,Crime,1980s,long,False,1.02
tt0180093,Requiem for a Dream,2000,102,Drama,8.3,973781,90,Drama,2000s,normal,False,0.97
tt0435761,Toy Story 3,2010,103,"Adventure,Animation,Comedy",8.3,970005,91,Adventure,2010s,normal,False,0.97
tt0211915,Amélie,2001,122,"Comedy,Romance",8.3,840156,92,Comedy,2000s,normal,False,0.84
tt0113277,Heat,1995,170,"Action,Crime,Drama",8.3,804392,93,Action,1990s,long,False,0.8
tt0062622,2001: A Space Odyssey,1968,149,"Adventure,Sci-Fi",8.3,783993,94,Adventure,1960s,normal,True,0.78
tt0364569,Oldboy,2003,120,"Action,Drama,Mystery",8.3,719135,95,Action,2000s,normal,False,0.72
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,"Comedy,War",8.3,551671,96,Comedy,1960s,short,True,0.55
tt0119698,Princess Mononoke,1997,133,"Adventure,Animation,Fantasy",8.3,484123,97,Adventure,1990s,normal,False,0.48
tt2106476,The Hunt,2012,115,Drama,8.3,409667,98,Drama,2010s,normal,False,0.41
tt0087843,Once Upon a Time in America,1984,229,"Crime,Drama",8.3,409135,99,Crime,1980s,long,False,0.41
tt0053125,North by Northwest,1959,136,"Adventure,Drama,Mystery",8.3,369859,100,Adventure,1950s,normal,True,0.37
tt0056172,Lawrence of Arabia,1962,227,"Adventure,Biography,Drama",8.3,342373,101,Adventure,1960s,long,True,0.34
tt12042730,Project Hail Mary,2026,156,"Adventure,Comedy,Drama",8.3,296751,102,Adventure,2020s,long,False,0.3
tt0082096,Das Boot,1981,149,"Drama,War",8.3,288028,103,Drama,1980s,normal,False,0.29
tt0045152,Singin' in the Rain,1952,103,"Comedy,Musical,Romance",8.3,282727,104,Comedy,1950s,normal,True,0.28
tt1832382,A Separation,2011,123,Drama,8.3,277833,105,Drama,2010s,normal,False,0.28
tt1255953,Incendies,2010,131,"Drama,Mystery,War",8.3,251117,106,Drama,2010s,normal,False,0.25
tt5074352,Dangal,2016,161,"Action,Biography,Drama",8.3,243185,107,Action,2010s,long,False,0.24
tt0986264,Like Stars on Earth,2007,162,"Drama,Family",8.3,232327,108,Drama,2000s,long,False,0.23
tt0053604,The Apartment,1960,125,"Comedy,Drama,Romance",8.3,219479,109,Comedy,1960s,normal,True,0.22
tt0022100,M,1931,99,"Crime,Mystery,Thriller",8.3,182932,110,Crime,1930s,short,True,0.18
tt0036775,Double Indemnity,1944,107,"Crime,Drama,Film-Noir",8.3,181459,111,Crime,1940s,normal,True,0.18
tt8503618,Hamilton,2020,160,"Biography,Drama,History",8.3,139288,112,Biography,2020s,long,False,0.14
tt33014583,Dhurandhar,2025,214,"Action,Adventure,Crime",8.3,139229,113,Action,2020s,long,False,0.14
